[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_334","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_335","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_336","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_337","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_338","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_339","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_340","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_341","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_342","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_343","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_344","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_345","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_346","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_347","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_348","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_349","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_350","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_351","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_352","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_353","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_354","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_355","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_356","FPC"],"mode":"matchingTag"},"is_exception":false} []
[2016-07-31 14:08:25] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://dev.barbaron.bg/magdmin/catalog/product_action_attribute/save/store/0/key/04bf0e7be4e9d161eb80dbb0e6508dff7b6c2afb29f4b9617c475811b6830dcd/active_tab/attributes/","invalidateInfo":{"tags":["catalog_product_357","FPC"],"mode":"matchingTag"},"is_exception":false} []
